#Date,JD,mag
2024-03-16 15:42:18,2460386.15438,19.32
2024-04-18 10:54:54,2460418.95479,19.17
2024-04-18 15:08:33,2460419.13094,19.30
2024-08-13 19:10:19,2460536.29883,19.01
2024-08-13 23:24:00,2460536.47500,19.05
2024-08-14 01:10:34,2460536.54900,18.99
2024-08-21 11:30:43,2460543.97966,19.28
2024-08-21 13:17:18,2460544.05368,19.18
2024-08-21 19:17:34,2460544.30387,19.20
2024-09-30 16:50:53,2460584.20200,18.32
2024-11-06 12:12:00,2460621.00833,16.44
2024-11-18 00:21:13,2460632.51473,15.58
2024-11-18 04:34:54,2460632.69090,15.75
2024-11-18 06:21:29,2460632.76492,15.68

